beach_id,Beach_Name,Latitude,Longitude,Sunrise,Sunset,Weather_Description,Temperature,Water_Temperature,Cloud_Cover,Wind_Speed,Wave_Height
117,La Piedra State Beach,34.03985483,-118.8874178,06:44 AM,04:47 PM,Light rain shower,56,61,100,10,2.0
118,Robert Meyer Memorial State Beach,34.03869785,-118.8758222,06:44 AM,04:47 PM,Light rain shower,56,61,100,10,2.0
119,Broad Beach,34.0378004,-118.8678132,06:44 AM,04:47 PM,Light rain shower,56,61,100,10,2.0
120,Will Rogers State Beach,34.03695749,-118.5375772,06:41 AM,04:45 PM,Overcast,55,62,97,6,1.0
121,Lechuza Beach,34.03610607,-118.8662851,06:44 AM,04:47 PM,Light rain shower,56,61,100,10,2.0
122,Malibu Lagoon State Beach,34.03397257,-118.6803286,06:41 AM,04:45 PM,Overcast,55,62,97,6,1.0
123,Palisades Park,34.02321351,-118.5095999,06:41 AM,04:45 PM,Overcast,55,62,97,6,1.0
124,Zuma Beach County Park,34.02190008,-118.8306025,06:44 AM,04:47 PM,Light rain shower,56,61,100,10,2.0
125,Santa Monica State Beach,34.01453645,-118.5023759,06:41 AM,04:45 PM,Overcast,55,62,97,6,1.0
126,Point Dume State Beach,34.01137544,-118.8169822,06:44 AM,04:47 PM,Light rain shower,56,61,100,10,2.0
127,Venice Beach,33.97918361,-118.469256,06:41 AM,04:44 PM,Overcast,55,62,97,6,1.0
128,Playa Del Rey,33.953557,-118.4489999,06:41 AM,04:44 PM,Overcast,55,62,97,6,1.0
129,Dockweiler Beach,33.93020159,-118.4361253,06:41 AM,04:44 PM,Overcast,57,62,95,8,1.6
130,El Segundo Beach,33.91567244,-118.4299455,06:41 AM,04:44 PM,Overcast,57,62,95,8,1.6
131,El Porto Beach,33.90327605,-118.4218,06:41 AM,04:44 PM,Overcast,57,62,95,8,1.6
132,Manhattan Beach Pier,33.884653,-118.413534,06:41 AM,04:44 PM,Overcast,57,62,95,8,1.6
133,Redondo Beach Pier,33.836274,-118.390844,06:40 AM,04:45 PM,Overcast,57,62,95,8,1.6
134,Hermosa Beach Pier,33.86262759,-118.4029938,06:40 AM,04:45 PM,Overcast,57,62,95,8,1.6
135,Torrance County Beach,33.81375651,-118.3917316,06:40 AM,04:45 PM,Overcast,57,62,95,8,1.6
136,RAT Beach,33.80419646,-118.3947961,06:40 AM,04:45 PM,Overcast,57,62,95,8,1.6
137,Seal Beach,33.73288587,-118.0944039,06:39 AM,04:44 PM,Overcast,57,61,93,7,2.0
138,Royal Palms Beach Park,33.72059658,-118.3280213,06:40 AM,04:44 PM,Overcast,57,62,95,8,1.6
139,Cabrillo Beach,33.71107,-118.283053,06:40 AM,04:44 PM,Overcast,57,62,95,8,1.6
140,Bolsa Chica State Beach,33.69949298,-118.0506696,06:39 AM,04:43 PM,Overcast,57,61,93,7,2.0
141,Huntington City Beach,33.6556063,-118.0027792,06:39 AM,04:43 PM,Overcast,57,61,93,7,2.0
142,Huntington State Beach,33.63838381,-117.9741486,06:38 AM,04:43 PM,Patchy rain possible,57,61,93,7,2.0
143,Santa Ana River County Beach,33.62579683,-117.9515567,06:38 AM,04:43 PM,Patchy rain possible,57,61,93,7,2.0
144,Newport Beach Municipal Beach,33.60645254,-117.9260873,06:38 AM,04:43 PM,Overcast,57,61,93,7,2.0
145,Balboa Beach,33.596877,-117.89127,06:38 AM,04:43 PM,Overcast,57,61,93,7,2.0
146,The Wedge (Newport Beach),33.593665,-117.881895,06:38 AM,04:43 PM,Overcast,57,61,93,7,2.0
147,Corona del Mar State Beach,33.59308086,-117.8765156,06:38 AM,04:43 PM,Overcast,57,61,93,7,2.0
148,Little Corona del Mar Beach,33.59007934,-117.8689934,06:38 AM,04:43 PM,Overcast,57,61,93,7,2.0
149,Crystal Cove State Park,33.57566596,-117.8412706,06:38 AM,04:43 PM,Overcast,57,61,93,7,2.0
150,Crescent Bay Point Park,33.54707317,-117.8038219,06:38 AM,04:43 PM,Overcast,57,61,93,7,2.0
151,Shaw's Cove,33.54560671,-117.7982644,06:38 AM,04:43 PM,Overcast,57,61,93,7,2.0
152,Diver's Cove,33.54480194,-117.7945844,06:38 AM,04:43 PM,Overcast,57,61,93,7,2.0
153,Picnic Beach,33.54364841,-117.7927497,06:38 AM,04:43 PM,Overcast,57,61,93,7,2.0
154,Rockpile Beach,33.543094,-117.7896491,06:38 AM,04:43 PM,Overcast,57,61,93,7,2.0
155,Laguna Beach,33.54263769,-117.7870208,06:38 AM,04:43 PM,Overcast,57,61,93,7,2.0
156,Main Beach,33.54256641,-117.7869133,06:38 AM,04:43 PM,Overcast,57,61,93,7,2.0
157,Brooks Street Beach,33.53275705,-117.7771038,06:37 AM,04:43 PM,Cloudy,55,61,70,6,1.6
158,Victoria Beach,33.51689843,-117.7611228,06:37 AM,04:43 PM,Cloudy,55,61,70,6,1.6
159,Aliso Beach,33.51038632,-117.7525398,06:37 AM,04:43 PM,Cloudy,55,61,70,6,1.6
160,West Street Beach,33.50595903,-117.7486526,06:37 AM,04:43 PM,Cloudy,55,61,70,6,1.6
161,"1,000 Steps Beach",33.4985416,-117.7414247,06:37 AM,04:43 PM,Cloudy,55,61,70,6,1.6
162,Salt Creek County Beach,33.47769283,-117.7226023,06:37 AM,04:43 PM,Cloudy,55,61,70,6,1.6
163,Doheny State Beach,33.46287214,-117.6873259,06:37 AM,04:43 PM,Cloudy,55,61,70,6,1.6
164,Capistrano Beach Park,33.45614113,-117.6676277,06:37 AM,04:43 PM,Cloudy,55,61,70,6,1.6
165,Beach State Park,33.45460429,-117.6692246,06:37 AM,04:43 PM,Cloudy,55,61,70,6,1.6
166,Poche Beach,33.44156743,-117.64617,06:36 AM,04:42 PM,Cloudy,55,61,70,6,1.6
167,San Clemente City Beach,33.42782296,-117.6280388,06:36 AM,04:42 PM,Cloudy,55,61,70,6,1.6
168,San Clemente State Beach,33.40365884,-117.6048362,06:36 AM,04:42 PM,Cloudy,55,61,70,6,1.6
169,San Onofre State Beach,33.37388206,-117.5662879,06:36 AM,04:42 PM,Cloudy,55,61,70,6,1.6
170,"Del Mar Beach, Camp Pendleton",33.22066881,-117.4072513,06:35 AM,04:42 PM,Cloudy,55,61,79,4,2.3
171,Oceanside Harbor Beach,33.204828,-117.394755,06:35 AM,04:42 PM,Cloudy,55,61,79,4,2.3
172,Oceanside City Beach,33.19538512,-117.3857032,06:35 AM,04:42 PM,Cloudy,55,61,79,4,2.3
173,"Buccaneer Beach, Oceanside",33.17851501,-117.3703371,06:35 AM,04:42 PM,Cloudy,55,61,79,4,2.3
174,South Oceanside Beach (Cassidy Street),33.17311454,-117.3655589,06:35 AM,04:42 PM,Cloudy,55,61,79,4,2.3
175,Saint Malo Beach,33.16615726,-117.360099,06:35 AM,04:42 PM,Cloudy,55,61,79,4,2.3
176,Carlsbad City Beach,33.15757212,-117.3532021,06:35 AM,04:42 PM,Cloudy,55,61,79,4,2.3
177,Carlsbad State Beach,33.15031883,-117.3487623,06:35 AM,04:42 PM,Cloudy,55,61,79,4,2.3
178,Terra Mar Point,33.12822917,-117.3335735,06:35 AM,04:42 PM,Cloudy,55,61,79,4,2.3
179,Ponto Beach,33.10747125,-117.3218329,06:34 AM,04:42 PM,Partly cloudy,56,61,62,5,2.6
180,South Carlsbad State Beach,33.10359124,-117.3199447,06:34 AM,04:42 PM,Partly cloudy,56,61,62,5,2.6
181,Grandview,33.07705649,-117.3110183,06:34 AM,04:42 PM,Partly cloudy,56,61,62,5,2.6
182,Beacon's Beach,33.07691959,-117.3099082,06:34 AM,04:42 PM,Partly cloudy,56,61,62,5,2.6
183,Stone Steps Beach,33.05364974,-117.3011103,06:34 AM,04:42 PM,Partly cloudy,56,61,62,5,2.6
184,Moonlight Beach,33.0493509,-117.298868,06:34 AM,04:42 PM,Partly cloudy,56,61,62,5,2.6
185,D Street Viewpoint,33.04570416,-117.2974281,06:34 AM,04:42 PM,Partly cloudy,56,61,62,5,2.6
186,Swamis,33.03502813,-117.2929205,06:34 AM,04:42 PM,Partly cloudy,56,61,62,5,2.6
187,San Elijo State Beach,33.02257902,-117.2842516,06:34 AM,04:42 PM,Partly cloudy,56,61,62,5,2.6
188,Cardiff State Beach,33.01050606,-117.27963,06:34 AM,04:42 PM,Partly cloudy,56,61,62,5,2.6
189,Tide Beach Park,32.99686572,-117.2764543,06:34 AM,04:42 PM,Partly cloudy,56,61,62,5,2.6
190,Fletcher Cove Park,32.99089067,-117.2752956,06:34 AM,04:42 PM,Partly cloudy,56,61,62,5,2.6
191,Seascape Surf,32.98567586,-117.2729118,06:34 AM,04:42 PM,Partly cloudy,56,61,62,5,2.6
192,Del Mar City Beach,32.97695929,-117.269502,06:34 AM,04:42 PM,Partly cloudy,56,61,62,5,2.6
193,Torrey Pines State Beach,32.93778126,-117.2617343,06:34 AM,04:42 PM,Cloudy,56,60,83,5,2.6
194,Black's Beach,32.89147257,-117.2559886,06:34 AM,04:42 PM,Cloudy,56,60,83,5,2.6
195,La Jolla Shores,32.88563453,-117.2535424,06:34 AM,04:42 PM,Cloudy,56,60,83,5,2.6
196,La Jolla Cove,32.85038249,-117.2730244,06:34 AM,04:42 PM,Cloudy,56,60,83,5,2.6
197,Marine Street Beach,32.83785649,-117.2816841,06:34 AM,04:42 PM,Cloudy,56,60,83,5,2.6
198,Windansea Beach,32.83123002,-117.2813634,06:34 AM,04:42 PM,Cloudy,56,60,83,5,2.6
199,Tourmaline Surfing Park,32.80545903,-117.2625367,06:33 AM,04:42 PM,Cloudy,56,60,83,5,2.6
200,Pacific Beach,32.79393428,-117.2568115,06:33 AM,04:42 PM,Cloudy,56,60,83,5,2.6
201,Mission Beach,32.77304026,-117.25171,06:33 AM,04:42 PM,Cloudy,56,60,83,5,2.6
202,Ocean Beach City Beach,32.74163262,-117.2544577,06:33 AM,04:42 PM,Cloudy,56,60,83,5,2.6
203,Coronado Municipal Beach,32.68946424,-117.1868348,06:33 AM,04:42 PM,Partly cloudy,56,56,51,6,3.3
204,Silver Strand State Beach,32.63466425,-117.1419929,06:32 AM,04:42 PM,Partly cloudy,56,56,51,6,3.3
