beach_id,beach_name,latitude,longitude,sunrise,sunset,weather_description,temperature,water_temperature,cloud_cover,wind_speed,wave_height
40,Funston Beach,37.71968785,-122.5028803,6:49:00,16:59:00,Clear,50,55,0,7,3.3
41,Thornton Beach State Park,37.69895078,-122.4966631,7:37:00,18:10:00,Patchy rain possible,53,51,77,9,3.9
41,Thornton Beach State Park,37.69895078,-122.4966631,6:47:00,17:01:00,Clear,52,51,0,11,1.3
41,Thornton Beach State Park,37.69895078,-122.4966631,6:51:00,16:58:00,Clear,53,52,0,9,2.3
41,Thornton Beach State Park,37.69895078,-122.4966631,6:48:00,17:00:00,Clear,50,55,0,8,2.3
41,Thornton Beach State Park,37.69895078,-122.4966631,6:49:00,16:59:00,Clear,50,55,0,7,3.3
42,Mussel Rock Park,37.66864578,-122.4949438,7:37:00,18:10:00,Patchy rain possible,53,51,77,9,3.9
42,Mussel Rock Park,37.66864578,-122.4949438,6:47:00,17:01:00,Clear,52,51,0,11,1.3
42,Mussel Rock Park,37.66864578,-122.4949438,6:51:00,16:58:00,Clear,53,52,0,9,2.3
42,Mussel Rock Park,37.66864578,-122.4949438,6:48:00,17:00:00,Clear,50,55,0,8,2.3
42,Mussel Rock Park,37.66864578,-122.4949438,6:49:00,16:59:00,Clear,50,55,0,7,3.3
43,Gray Whale Cove State Beach,37.56465031,-122.514044,7:36:00,18:10:00,Partly cloudy,52,55,20,6,5.9
43,Gray Whale Cove State Beach,37.56465031,-122.514044,6:46:00,17:01:00,Clear,52,51,0,8,1.6
43,Gray Whale Cove State Beach,37.56465031,-122.514044,6:51:00,16:58:00,Clear,53,51,0,6,3.6
43,Gray Whale Cove State Beach,37.56465031,-122.514044,6:48:00,17:01:00,Clear,50,55,0,7,3.9
43,Gray Whale Cove State Beach,37.56465031,-122.514044,6:49:00,17:00:00,Clear,49,55,0,7,4.6
44,Montara State Beach,37.54661402,-122.5149052,7:36:00,18:10:00,Partly cloudy,52,55,20,6,5.9
44,Montara State Beach,37.54661402,-122.5149052,6:46:00,17:01:00,Clear,52,51,0,8,1.6
